	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d
	TIME	FS1_1
	FRAME_NUMBERS	FORCE
	ORIGINAL	ORIGINAL
ITEM	X	Y
254	0.506000	540.671875
255	0.508000	540.419678
256	0.510000	540.401001
257	0.512000	539.895569
258	0.514000	540.152466
259	0.516000	540.162720
260	0.518000	540.417847
261	0.520000	540.682739
262	0.522000	540.168457
263	0.524000	539.119019
264	0.526000	539.636475
265	0.528000	539.902527
266	0.530000	540.162842
267	0.532000	539.642334
268	0.534000	540.164917
269	0.536000	540.420410
270	0.538000	539.390320
271	0.540000	539.906616
272	0.542000	539.646118
273	0.544000	539.656250
274	0.546000	539.644531
275	0.548000	540.169678
276	0.550000	539.646057
277	0.552000	540.417725
278	0.554000	539.903320
279	0.556000	540.157593
280	0.558000	540.429504
281	0.560000	541.209534
282	0.562000	539.899780
283	0.564000	540.172729
284	0.566000	540.956909
285	0.568000	540.955811
286	0.570000	540.426270
287	0.572000	540.688904
288	0.574000	540.701172
289	0.576000	539.915161
290	0.578000	539.919556
291	0.580000	540.171387
292	0.582000	539.662598
293	0.584000	540.182007
294	0.586000	539.909180
295	0.588000	540.457825
296	0.590000	539.924194
297	0.592000	539.147461
298	0.594000	539.661072
299	0.596000	539.661072
300	0.598000	539.914490
301	0.600000	538.875488
302	0.602000	539.935669
303	0.604000	540.207153
304	0.606000	539.933960
305	0.608000	539.145996
306	0.610000	539.148560
307	0.612000	539.674500
308	0.614000	539.674988
309	0.616000	539.157776
310	0.618000	538.895630
311	0.620000	539.680847
312	0.622000	539.664063
313	0.624000	539.946899
314	0.626000	539.156372
315	0.628000	539.682617
316	0.630000	539.423340
317	0.632000	539.166138
318	0.634000	539.421082
319	0.636000	539.432739
320	0.638000	540.194458
321	0.640000	539.673157
322	0.642000	539.930969
323	0.644000	538.893799
324	0.646000	539.931946
325	0.648000	539.417358
326	0.650000	538.888916
327	0.652000	539.412964
328	0.654000	539.159241
329	0.656000	540.191772
330	0.658000	539.412964
331	0.660000	539.936646
332	0.662000	539.142822
333	0.664000	539.152344
334	0.666000	539.928345
335	0.668000	540.195313
336	0.670000	539.947449
337	0.672000	540.192932
338	0.674000	540.463684
339	0.676000	539.941040
340	0.678000	540.200195
341	0.680000	540.199463
342	0.682000	539.143372
343	0.684000	539.668518
344	0.686000	539.664001
345	0.688000	539.398621
346	0.690000	540.182007
347	0.692000	540.698792
348	0.694000	540.967163
349	0.696000	540.712769
350	0.698000	540.173767
351	0.700000	539.925537
352	0.702000	540.705078
353	0.704000	540.701294
354	0.706000	540.964111
355	0.708000	540.182983
356	0.710000	541.229614
357	0.712000	540.699585
358	0.714000	540.955566
359	0.716000	540.691162
360	0.718000	541.214783
361	0.720000	540.957336
362	0.722000	540.957642
363	0.724000	540.691284
364	0.726000	540.697266
365	0.728000	541.742310
366	0.730000	541.475403
367	0.732000	541.480591
368	0.734000	541.728455
369	0.736000	541.723999
370	0.738000	541.216431
371	0.740000	541.204834
372	0.742000	541.474121
373	0.744000	541.208862
374	0.746000	540.695129
375	0.748000	540.695129
376	0.750000	540.432312
377	0.752000	539.914307
378	0.754000	540.169434
379	0.756000	540.160339
380	0.758000	539.905823
381	0.760000	539.904785
382	0.762000	540.693726
383	0.764000	541.464294
384	0.766000	541.993042
385	0.768000	540.681824
386	0.770000	540.941284
387	0.772000	541.472168
388	0.774000	542.244751
389	0.776000	540.947388
390	0.778000	540.949463
391	0.780000	541.454773
392	0.782000	540.939453
393	0.784000	541.987061
394	0.786000	541.708496
395	0.788000	541.985657
396	0.790000	542.240845
397	0.792000	541.456055
398	0.794000	541.722168
399	0.796000	541.192200
400	0.798000	541.199524
401	0.800000	541.456360
402	0.802000	541.451050
403	0.804000	541.456177
404	0.806000	541.200317
405	0.808000	541.449707
406	0.810000	540.932678
407	0.812000	541.194214
408	0.814000	540.936890
409	0.816000	540.929199
410	0.818000	540.408081
411	0.820000	541.194763
412	0.822000	540.153809
413	0.824000	540.405457
414	0.826000	540.147949
415	0.828000	540.413208
416	0.830000	540.936279
417	0.832000	540.153809
418	0.834000	540.925720
419	0.836000	540.923584
420	0.838000	540.414185
421	0.840000	539.883606
422	0.842000	539.888916
423	0.844000	539.627441
424	0.846000	540.151733
425	0.848000	539.627808
426	0.850000	539.889526
427	0.852000	540.147888
428	0.854000	539.885376
429	0.856000	539.885132
430	0.858000	539.622620
431	0.860000	539.373291
432	0.862000	539.883057
433	0.864000	539.357544
434	0.866000	540.139038
435	0.868000	540.142090
436	0.870000	539.624268
437	0.872000	540.153076
438	0.874000	539.878662
439	0.876000	539.104248
440	0.878000	539.096313
441	0.880000	539.367065
442	0.882000	539.366333
443	0.884000	539.618652
444	0.886000	540.158813
445	0.888000	539.105652
446	0.890000	539.112244
447	0.892000	540.154968
448	0.894000	539.630615
449	0.896000	540.148438
450	0.898000	539.890137
451	0.900000	539.622864
452	0.902000	539.372437
453	0.904000	539.627808
454	0.906000	539.617432
455	0.908000	539.355347
456	0.910000	539.362793
457	0.912000	540.144348
458	0.914000	539.874512
459	0.916000	540.670898
460	0.918000	540.140869
461	0.920000	539.878662
462	0.922000	540.666138
463	0.924000	540.141235
464	0.926000	541.185059
465	0.928000	540.411987
466	0.930000	540.661499
467	0.932000	539.894531
468	0.934000	540.404297
469	0.936000	540.403809
470	0.938000	540.921631
471	0.940000	540.667175
472	0.942000	540.150635
473	0.944000	540.406372
474	0.946000	539.890991
475	0.948000	540.150391
476	0.950000	540.402527
477	0.952000	540.408203
478	0.954000	540.153931
479	0.956000	540.145386
480	0.958000	540.155029
481	0.960000	540.146484
482	0.962000	539.899292
483	0.964000	539.636597
484	0.966000	540.409363
485	0.968000	540.678101
486	0.970000	540.407104
487	0.972000	540.402588
488	0.974000	540.673950
489	0.976000	540.670532
490	0.978000	540.920776
491	0.980000	541.189087
492	0.982000	541.196411
493	0.984000	540.926941
494	0.986000	541.451294
495	0.988000	541.187317
496	0.990000	541.713013
497	0.992000	541.449524
498	0.994000	541.449463
499	0.996000	541.199463
500	0.998000	541.971680
501	1.000000	541.719971
502	1.002000	541.976746
503	1.004000	541.977295
504	1.006000	541.447510
505	1.008000	541.205566
506	1.010000	541.723877
507	1.012000	541.461975
508	1.014000	541.463074
509	1.016000	541.459290
510	1.018000	540.943359
511	1.020000	541.195557
512	1.022000	541.459900
513	1.024000	540.942261
514	1.026000	540.695435
515	1.028000	541.188843
516	1.030000	540.948853
517	1.032000	540.156006
518	1.034000	540.166626
519	1.036000	540.170227
520	1.038000	539.910889
521	1.040000	540.168457
522	1.042000	539.656860
523	1.044000	540.175720
524	1.046000	539.387512
525	1.048000	539.130615
526	1.050000	539.390259
527	1.052000	539.656372
528	1.054000	540.175903
529	1.056000	540.443604
530	1.058000	539.389526
531	1.060000	540.179810
532	1.062000	539.397583
533	1.064000	539.660400
534	1.066000	538.356567
535	1.068000	538.361206
536	1.070000	539.127075
537	1.072000	539.399536
538	1.074000	539.145569
539	1.076000	538.889282
540	1.078000	539.135254
541	1.080000	538.877808
542	1.082000	539.407898
543	1.084000	539.153076
544	1.086000	539.145874
545	1.088000	538.616333
546	1.090000	538.879150
547	1.092000	538.627808
548	1.094000	538.622559
549	1.096000	539.911621
550	1.098000	539.920166
551	1.100000	539.391357
552	1.102000	540.180054
553	1.104000	538.352722
554	1.106000	538.875061
555	1.108000	539.141968
556	1.110000	538.883972
557	1.112000	539.142944
558	1.114000	539.130859
559	1.116000	539.402100
560	1.118000	539.126343
561	1.120000	539.412476
562	1.122000	539.137268
563	1.124000	539.661011
564	1.126000	539.154114
565	1.128000	539.925903
566	1.130000	539.662415
567	1.132000	540.179810
568	1.134000	539.661987
569	1.136000	540.448975
570	1.138000	539.660156
571	1.140000	539.149109
572	1.142000	539.925171
573	1.144000	539.934692
574	1.146000	540.193970
575	1.148000	539.660522
576	1.150000	539.141235
577	1.152000	540.443787
578	1.154000	539.156372
579	1.156000	539.674744
580	1.158000	539.413147
581	1.160000	539.157104
582	1.162000	540.455200
583	1.164000	540.193726
584	1.166000	540.204224
585	1.168000	540.970764
586	1.170000	540.707886
